"Agriculture Year",District,Crop,"Area Growth",Unit1,"Production Growth",Unit2,"Productivity Growth",Unit3
1953-54,Kollam,Arecanut,-18.49,Percent,8.78,Percent,33.78,Percent
1953-54,Kollam,Banana,142.86,Percent,-15.63,Percent,-65.26,Percent
1953-54,Kollam,Cardamom,-55.56,Percent,-50,Percent,14.29,Percent
1953-54,Kollam,Cashew,-37.5,Percent,-32.07,Percent,8.74,Percent
1953-54,Kollam,Coconut,-6.16,Percent,-6.4,Percent,-0.26,Percent
1953-54,Kollam,Coffee,,Percent,,Percent,,Percent
1953-54,Kollam,Ginger,-89,Percent,-88.52,Percent,4.35,Percent
1953-54,Kollam,Mango,838.15,Percent,,Percent,,Percent
1953-54,Kollam,Paddy,0.81,Percent,4.09,Percent,3.32,Percent
1953-54,Kollam,Pepper,16.61,Percent,10.98,Percent,-4.77,Percent
1953-54,Kollam,Plantain,142.69,Percent,-15.69,Percent,-65.26,Percent
1953-54,Kollam,Rubber,0.16,Percent,5.83,Percent,5.33,Percent
1953-54,Kollam,Tapioca,32.13,Percent,26.12,Percent,-4.55,Percent
1953-54,Kollam,Tea,,Percent,,Percent,,Percent
1953-54,Kollam,Turmeric,-8.45,Percent,-8.97,Percent,-0.64,Percent
1953-54,Kottayam,Arecanut,-25.62,Percent,-0.83,Percent,33.78,Percent
1953-54,Kottayam,Banana,80.54,Percent,-37.51,Percent,-65.38,Percent
1953-54,Kottayam,Cardamom,3.78,Percent,-5.86,Percent,-8.51,Percent
1953-54,Kottayam,Cashew,41.84,Percent,54.16,Percent,8.74,Percent
1953-54,Kottayam,Coconut,4.48,Percent,4.44,Percent,-0.04,Percent
1953-54,Kottayam,Coffee,,Percent,,Percent,,Percent
1953-54,Kottayam,Ginger,-39.31,Percent,-39.35,Percent,-0.08,Percent
1953-54,Kottayam,Mango,368.2,Percent,,Percent,,Percent
1953-54,Kottayam,Paddy,-20.15,Percent,-17.55,Percent,3.32,Percent
1953-54,Kottayam,Pepper,5.03,Percent,-0.28,Percent,-4.99,Percent
1953-54,Kottayam,Plantain,80.76,Percent,-37.43,Percent,-65.38,Percent
1953-54,Kottayam,Rubber,0.16,Percent,5.81,Percent,2.6,Percent
1953-54,Kottayam,Tapioca,47.25,Percent,40.56,Percent,-4.55,Percent
1953-54,Kottayam,Tea,,Percent,,Percent,,Percent
